,pros,contras,rates,contras_en,pros_en
231,O salário é competitivo com o mercado e o ambiente é bom.,"Estrutura inchada, difícil de protagonizar mudanças, alguns gestores muito resistentes e acostumados a enxergar as coisas como sempre foram.","4,0","Swollen structure, difficult to bring about changes, some managers very resistant and used to seeing things as they always were.",The salary is competitive with the market and the environment is good.
232,"Empresa ""humana"", coloca o colaborador sempre à frente, pensa em benefícios e opções para conciliarmos qualidade de vida e trabalho.
Bons benefícios
Um ecossistema amigável e saudável",Salário abaixo da média do setor,"4,0",Salary below industry average,"A ""human"" company, always puts the employee first, thinks about benefits and options to reconcile quality of life and work.
good benefits
A friendly and healthy ecosystem"
233,"Ótimos benefícios, ambiente que estimula aprendizado",Peca na organização dos times e planejamento de tarefas,"4,0",Sins in team organization and task planning,"Great benefits, environment that encourages learning"
234,"- Benefícios
- Ambiente saudável
- Ótimos profissionais (em especial líderes)
- Possibilidade real de crescimento e movimentações internas
- Uma empresa que ouve o que todos os colaboradores tem a dizer
- Home-office definitivo","- Entrei com um salário abaixo do mercado, mas rapidamente isso foi identificado e já estão tomando as medidas para correção","5,0","- I entered with a salary below the market, but this was quickly identified and measures are already being taken to correct it","- Benefits
- healthy environment
- Great professionals (especially leaders)
- Real possibility of growth and internal movements
- A company that listens to what all employees have to say
- Definitive home office"
235,"Salário, Comissão, Décimo terceiro,Férias,
Sábado meio periodo","Sem oportunidade de crescimento
Sem vale alimentação","3,0","No growth opportunity
No food stamps","Salary, Commission, Thirteenth, Vacation,
Saturday part time"
236,"Colaboração, Foco em pessoas, Tecnologia",Nenhum ponto relevante até o momento,"5,0",No relevant points so far,"Collaboration, People Focus, Technology"
237,"Home Office, clima organizacional, benefícios, ótimo equilibrio entre vida profissional e pessoal.","Por ser uma empresa muito grande, as vezes os processos são demorados.","5,0","Because it is a very large company, sometimes the processes are time consuming.","Home Office, organizational climate, benefits, great work-life balance."
238,"Respeito aos funcionários, ambiente leve, desafios compatíveis com o desejo de carreira, bons benefícios.","Salário baixo, demora para ocorrer promoção, demanda que ultrapassa 8h diárias, pouco suporte para evolução de carreira","4,0","Low salary, delay in promotion, demand that exceeds 8 hours a day, little support for career development","Respect for employees, light environment, challenges compatible with the desire for a career, good benefits."
239,"Bons princípios, olhar para o funcionário, empresa com bom benefício e bom ambiente","Muito workload, pipeline de talentos muito grande com pouca oportunidade de promoção","4,0","Too much workload, too large talent pipeline with little opportunity for promotion","Good principles, looking at the employee, a company with good benefits and a good environment"
240,"Salario mínimo, boa comunicação, boas pessoas, alta chance de ser efetivado",Muito trabalho pra pouco dinheiro.,"3,0",A lot of work for little money.,"Minimum wage, good communication, good people, high chance of being hired"
241,"A empresa é uma verdadeira escola. Pra quem tem interesse em aprender e se desenvolver, super recomendo !",Precisa melhorar o plano carreira. Existe cargos que estão ocupados por pessoas que estão aposentadas.,"4,0",Need to improve the career plan. There are positions that are occupied by people who are retired.,"The company is a true school. For those who are interested in learning and developing, I highly recommend it!"
242,"benefícios 
home office 
ambiente humano e acolhedor","baixo salário
falta de plano de carreira","4,0","low salary
lack of career plan","benefits
home office
human and welcoming environment"
243,"Crescimento profissional 
Treinamentos excelentes
Cultura organizacional e empresarial perfeita.","Os gestores precisam aprender a não apenas ouvir, mas também escutar. Ouvir é quando deixamos o som passar pelos ouvidos, enquanto escutar é uma ação consciente para entender o que foi dito e estabelecer a comunicação assertiva e verdadeira.","3,0","Managers need to learn not only to listen, but also to listen. Listening is when we let the sound pass through the ears, while listening is a conscious action to understand what was said and establish assertive and true communication.","Professional growth
excellent trainings
Perfect organizational and business culture."
244,Empresa maravilhosa. Paga bem e trata os funcionário mto bem tbm,Questões culturas não são boas as vezes,"5,0",Cultural issues are not good sometimes,Wonderful company. Pays well and treats employees very well.
245,"Salário é bom, comissão e tudo mais",A empresa não liga pro funcionário,"4,0",The company does not care about the employee,"Salary is good, commission and everything."
246,"Remuneração base está acima da média do mercado, com ótimos benefícios de alimentação, saúde (mental e física), gympass e outros.",Poucas oportunidades de seniorização da área.,"5,0",Few opportunities for seniorization in the area.,"Base pay is above the market average, with great food, health (mental and physical), gympass and other benefits."
247,"Cultura muito forte! Ótimo ambiente de trabalho, espírito muito colaborativo.",Não tenho nada a reclamar.,"5,0",I have nothing to complain about.,"Very strong culture! Great working environment, very collaborative spirit."
248,Tudo de bom nessa empresa.,Nenhum contra até o momento,"5,0",No cons so far,All the best in this company.
249,Excelente ambiente para desenvolver carreira,Chefias muitas vezes ambiciosas e pouco colaborativas,"4,0",Managers are often ambitious and uncooperative,Excellent environment to develop career
250,"Boa empresa, reconhece os funcionários",Não tenho nenhum comentário contra,"5,0",I have no comments against,"Good company, recognizes employees"
251,"valoriza o funcionário, a diversidade, a qualidade de vida",passou por uma reorg ha pouco tempo e ainda esta em fase de adaptação,"5,0",underwent a reorg a short time ago and is still in the adaptation phase,"values ​​the employee, diversity, quality of life"
252,"Ambiente colaborativo, grande autonomia e dinamico",Varejo precisa que a agilidade seja mto alta,"5,0",Retail needs agility to be very high,"Collaborative environment, great autonomy and dynamic"
253,É um ambiente muito legal de se trabalhar.,É difícil de ser efetivado.,"4,0",It's difficult to implement.,It is a very nice environment to work in.
254,Bom lugar pra trabalhar no Brasil,Gostava dos benefícios da empresa,"2,0",Enjoyed company benefits,Good place to work in Brazil
255,Boa empresa no ramo da perfumaria,Competitividade entre funcionários do rano,"5,0",Competitiveness among rank employees,Good company in the perfumery business
256,"Empresa de grande porte, excelentes benefícios, com grande estrutura.","Como toda grande empresa, é bastante hierarquizada e sua estrutura complexa torna alguns processos e procedimentos internos mais lentos.","5,0","Like any large company, it is highly hierarchical and its complex structure slows down some internal processes and procedures.","Large company, excellent benefits, with great structure."
257,"Salário, benefícios e condições de trabalho excepcionais;
Recepção, integração e ambiente de trabalho incríveis;
Colaboradores tratados de forma humanizados, valorizando a diversidade e inclusão em todos os níveis;
Com plano de desenvolvimento individual;
Valorizando o colaborador tanto no profissional quanto no pessoal.
#UmSóGrupo","Até o momento não vi nenhuma situação que considere algo que caracterize de forma desagradável por parte da empresa, ou seja, nada de contras a ser mencionado.","5,0","So far, I have not seen any situation that I consider something that characterizes the company in an unpleasant way, that is, no cons to be mentioned.","Exceptional salary, benefits and working conditions;
Amazing reception, integration and work environment;
Employees treated in a humanized way, valuing diversity and inclusion at all levels;
With individual development plan;
Valuing the employee both professionally and personally.
#OneGroup"
258,"Empresa super humana e agradável, foi uma honra ter feito parte","Não tem. Adorei tudo, nada de queixas","5,0","It does not have. I loved everything, no complaints","Super human and pleasant company, it was an honor to have been part of"
259,"Trabalho remoto, boas intenções do time de cultura","Cultura muito hierárquica, muitas reuniões, muitos alinhamentos, lentidão para a tomada de decisão. Executivos (Diretores e VPs) que tem cargo sênior e atuação tática/operacional, dificultando a vida da gerencia média","2,0","Very hierarchical culture, many meetings, many alignments, slow decision-making. Executives (Directors and VPs) who have a senior position and tactical/operational action, making life difficult for middle management","Remote work, good intentions from the culture team"
260,Empresa com ótimos benefícios para a família,"Liderança não trabalham em grupo,pouca visibilidade com os funcionários","3,0","Leadership does not work in a group, little visibility with employees",Company with great family benefits
261,"A empresa possui uma cultura e valores ótimos o que proporciona um ambiente saudável, acolhedor e respeitoso; os desafios são interessantes e por ser uma empresa gigantesca te trás muita segurança e possibilidade de conhecer diferentes áreas e os benefícios são ótimos","Em alguns momentos enfrentamos dificuldades com áreas mais tradicionais, algumas decisões demoram para serem realizadas devido a complexidade já criada do ecossistema, pela expansão exponencial algumas lideranças estão perdidas e isto impacta um pouco no crescimento.","5,0","At times we face difficulties with more traditional areas, some decisions take time to be made due to the already created complexity of the ecosystem, due to the exponential expansion some leaders are lost and this impacts a little on growth.","The company has an excellent culture and values, which provides a healthy, welcoming and respectful environment; the challenges are interesting and because it is a gigantic company it gives you a lot of security and the possibility of getting to know different areas and the benefits are great"
262,"- Ambiente de trabalho altamente inclusivo e acolhedor.
- Surpreende os colaboradores antes mesmo de voce iniciar com as ações, atenção em todas as etapas
- Faz com que voce se envolva totalmente com os valores da empresa de forma que o brilho nos olhos e orgulho de fazer parte se torna presente e constante no seu dia a dia.
- Transparência na comunicação em todos os níveis, além de inúmeras oportunidades de desenvolvimento e crescimento
- Comprometimento com o meio ambiente, bem como, as comunidades e desenvolvimento das pessoas
- Pacote de benefícios muito interessante.",Até o momento não identifiquei nenhum ponto negativo.,"5,0",So far I have not identified any negative points.,"- Highly inclusive and welcoming work environment.
- Surprise employees even before you start with the actions, attention at all stages
- Makes you fully involved with the company's values ​​so that the sparkle in your eyes and pride in being part of it becomes present and constant in your day to day.
- Transparency in communication at all levels, in addition to numerous opportunities for development and growth
- Commitment to the environment, as well as communities and people's development
- Very interesting benefits package."
263,Bom de palmas pra mim ir pra lá pra mim ir lá em baixo do lado,Ruim pra você tem alguma novidade do que a minha tbm de uma mulher,"5,0","Bad for you, do you have any news than mine too from a woman",Big applause for me to go there for me to go down there on the side
264,"Flexibilidade de horários, home office, remuneração compatível com o mercado, PPR, VR+VA",Dependendo do cargo pode ter problemas em subir de nível (ex: assistente->analista),"5,0","Depending on the position, you may have problems in leveling up (ex: assistant->analyst)","Flexibility of schedules, home office, remuneration compatible with the market, PPR, VR+VA"
265,"Excelentes benefícios, salário compatível com o mercado, oportunidades de carreira, grupo em crescente ascensão.","Embora eu não veja como algo contra, as mudanças que estão acontecendo no grupo, me deixa insegura em alguns momentos, no entanto, é mais por uma questão de ferramentas novas, do que a empresa em si.","5,0","Although I don't see it as something against it, the changes that are happening in the group make me insecure at times, however, it's more a matter of new tools than the company itself.","Excellent benefits, salary compatible with the market, career opportunities, growing group."
266,"Uma empresa humanizada, se preocupa com o bem estar nos funcionários.","Muita hierarquia, mesmo em cargo de gerência não tem autonomia para realizar o trabalho.","2,0","A lot of hierarchy, even in a management position, there is no autonomy to carry out the work.","A humanized company, cares about the well-being of its employees."
267,Grande capacidade de autonomia com responsabilidade.,Comprometimento de qualidade de vida com alta demanda.,"4,0",Commitment to quality of life with high demand.,Great capacity for autonomy with responsibility.
268,"Acessível 
Humana
Tecnológica 
Trabalho em equipe
Pessoas","Remuneração 
Flexibilidade
Rupturas
Programação de produção 
Tempo","5,0","Remuneration
Flexibility
ruptures
Production schedule
Time","Accessible
Human
Technological
Team work
People"
269,"Trabalhar com beleza, aprender coisas novas","Regras de mais, relações interpessoais difíceis","2,0","Too many rules, difficult interpersonal relationships","Work with beauty, learn new things"
270,"Ótimo local para se desenvolver, onde oferecem todo apoio para isso, dependendo apenas do colaborador saber onde quer chegar","até o momento nada de negativo, sempre em vista de pontos para melhorar.","5,0","so far nothing negative, always in view of points to improve.","Great place to develop, where they offer full support for this, depending only on the employee knowing where he wants to go"
271,"Empresa, paga um VR de 680, quem tem filho com menos de até anos recebe o VR de 800 reais, fora o VA, trabalho em casa empresa fornece todos equipamentos, deram una ajuda de custo de 1800 para comprar mesa e cadeira, plano sulamerica apartamento sem carência já começa usar no primeiro dia de trabalho, empresa sensacional, a melhor da minha vida.","liderança ausente, mas estão mudando, estão notando pessoas líderes estão cortando essas pessoas.","5,0","missing leadership, but are changing, are noticing people leaders are cutting these people.","Company, pays a VR of 680, those who have a child under the age of 1800 receive a VR of 800 reais, apart from the VA, work at home company provides all equipment, they gave an allowance of 1800 to buy a table and chair, southamerica plan apartment without grace period, you start using it on the first day of work, sensational company, the best of my life."
272,"Bom salario, beneficios horarios flexivel",Muita politicagem e ambiente que causa estresse.,"4,0",Too much politics and environment that causes stress.,"Good salary, flexible hours"
273,"Uma excelente empresa, com um ótimo pacote de benefícios e auxílios","Volume de trabalho
Quantidade de funcionários não compatível na área X demanda","5,0","volume of work
Number of employees not compatible in the area X demand",An excellent company with a great package of benefits and aids
274,"bons benefícios, home office, dependendo da área, boas chances de crescimento",gestão cobra dos colaboradores que eles sempre passem feedbacks de acontecimentos diários e o inverso não ocorre.,"3,0",management demands from employees that they always give feedback on daily events and the opposite does not occur.,"good benefits, home office, depending on the area, good chances of growth"
275,"Super motivacional, comandantes maravilhosos, súper engajados.","Muitas panelas, somem isso ao meu ponto de vista.","5,0","Lots of pots, add that to my point of view.","Super motivational, wonderful commanders, super engaged."
276,"Bons benefícios em comparação com as demais empresas da região.
A flexibilidade de horário e o formato híbrido são bons diferenciais.","Na prática não cumpre com as essências. Não há confiança nem integração entre as áreas. Parece que cada um trabalha como quer e não pensam  como grupo, querendo empurrar ou culpar os outros pelos problemas ao invés de buscar formas de resolvê-los. 
Além disso, é quase impossível cumprir horário em função da alta demanda de trabalho.","2,0","In practice, it does not comply with the essences. There is no trust or integration between areas. It seems that everyone works as they want and they don't think as a group, wanting to push or blame others for problems instead of looking for ways to solve them.
In addition, it is almost impossible to keep hours due to the high demand for work.","Good benefits compared to other companies in the region.
The flexibility of hours and the hybrid format are good differentials."
277,"A empresa fornece alguns dos melhores benefícios e auxílios do mercado, além de PPR. Trabalho remoto continuado durante a pandemia. Possibilidade de crescimento em algumas áreas, dependendo da gestão.","A carga de trabalho é incompatível com o número de pessoas em alguns squads. Burocracia e falta de agilidade de setores como a TI geram atrasos nas mudanças. Quantidade excessiva de reuniões interfere nas entregas, sendo necessário fazer horas extras semanalmente para cumprir os prazos. Dificilmente bons profissionais são promovidos por mera competência, pois a empresa exige que o funcionário pratique um certo puxassaquismo.","4,0","The workload is incompatible with the number of people in some squads. Bureaucracy and lack of agility in sectors such as IT generate delays in changes. Excessive number of meetings interferes with deliveries, requiring weekly overtime to meet deadlines. It is difficult for good professionals to be promoted on the basis of mere competence, as the company requires the employee to practice a certain amount of self-importance.","The company provides some of the best benefits and allowances on the market, in addition to PPR. Continued remote work during the pandemic. Possibility of growth in some areas, depending on management."
278,Empresa com cultura excelente! Qualidade de vida e alguns beneficios atrativos.,"Algumas pessoas são promovidas tão rápido que acabam sentando na cadeira de liderança totalmente despreparadas, o que acaba refletindo no time.
O programa de escolha de beneficios por pontos é confuso e faz a pessoa pensar que terá direito á tudo, mas na verdade precisaa abrir mão de alguns para ter outros.
Alguns beneficios são divulgados nas vagas mas na verdade ñ existem e vc só descobre quando entra. 
A grade de cargos e salarios é confusa também , um especialista I ñ pode ser comparado ao Especialista de mercado, na verdade ñ dá nem pra saber em qual nivel ele se enquadra, nem a empresa tem muita clareza disso.
O nivel de autonomia que eles dão é tão alto que vc tem que se virar sozinho o tempo todo pra resolver os problemas, sem pedir apoio do líder, caso contrário, isso pode ser entendido como falta de senioridade.
Ñ existe uma política de hora extra ou banco de horas, então vc pode trabalhar ""de graça"" em alguns momentos...","3,0","Some people are promoted so quickly that they end up sitting in the leadership chair completely unprepared, which ends up reflecting on the team.
The program for choosing benefits based on points is confusing and makes people think that they are entitled to everything, but in fact they need to give up some to have others.
Some benefits are disclosed in vacancies but in fact they don't exist and you only find out when you enter.
The grade of positions and salaries is also confusing, a specialist I can't be compared to a market specialist, in fact, you can't even tell which level he fits in, nor is the company very clear about that.
The level of autonomy they give you is so high that you have to fend for yourself all the time to solve problems, without asking for support from the leader, otherwise this can be understood as a lack of seniority.
There is no overtime or overtime policy, so you can work ""for free"" at times...",Company with great culture! Quality of life and some attractive benefits.
279,"Cultura que olha muito para o reconhecimento, feedback e evolução de carreira das pessoas",Bem Estar esta um pouco abaixo da expectativa,"5,0",Wellness is a little below expectations,"Culture that pays a lot of attention to people's recognition, feedback and career development"
280,"Plano de carreira, PPR, Ambiente acolhedor, Trabalho Remoto",Até o momento não tenho,"5,0",So far I don't have,"Career plan, PPR, Cozy environment, Remote work"
281,Empresa oferece benefícios como plano de saúde e refeição .,"Pouco funcionários para muito trabalho muita sobre carga de trabalho e muita cobrança , um gerente para 5 lojas","3,0","Few employees for a lot of work, a lot of workload and a lot of demands, one manager for 5 stores",The company offers benefits such as a health and meal plan.
282,"Uma empresa multinacional, correta e justa.",Não tem plano de carreira.,"5,0",No career plan.,"A multinational company, correct and fair."
283,"Pensa nas pessoas, boa cultura","Muita sobrecarga de trabalho, empresa cresceu muito rápido e o número de pessoas não acompanhoi","5,0","A lot of work overload, the company grew very fast and the number of people did not keep up","Think people, good culture"
284,"Fast-paced, Cultura, Reconhecimento, Desafios, Crescimento",Melhorar definição estratégica de marcas,"4,0",Improve strategic definition of brands,"Fast-paced, Culture, Recognition, Challenges, Growth"
285,"Benefícios, ambiente, cultura, gestão, inovação","Fábrica SJ distante de Curitiba com muito trânsito, falta estacionamento,","4,0","SJ factory far from Curitiba with a lot of traffic, lack of parking,","Benefits, environment, culture, management, innovation"
286,Horário de 6h. Home office.,Salário baixo para a função. Sem benefícios.,"5,0",Low pay for the job. No benefits.,Hours from 6 am. Home office.
287,"Bons benefícios , bons treinamentos","Salário incompatível ao cargo , metas absurdas visto que se não bater recebe somente salário fixo que é 1550,00 , não fornecem material de trabalho como devem , Vale Refeição 3 anos sem reajuste , e Vale Combustível tbm.","2,0","Salary incompatible with the position, absurd goals since if you don't hit it, you only receive a fixed salary of 1550.00, they don't provide work material as they should, Meal Voucher 3 years without readjustment, and Fuel Voucher too.","Good benefits, good training"
288,"Excelente lugar para trabalhar. Lhe dão toda estrutura necessária, flexibilidade e liberdade pra trabalhar da melhor forma.","Minha gestora em particular, assim como outras gestões que já vi, não sabem aplicar as visões e direcionamentos do grupo Boticário. Muitas gestões são muito fracas e ainda não estão preparadas para a atualidade.","4,0","My manager in particular, as well as other managers I've seen, do not know how to apply the visions and guidelines of the Boticário group. Many administrations are very weak and are not yet prepared for today.","Excellent place to work. They give you all the necessary structure, flexibility and freedom to work in the best way."
289,"Salário, PLR, Plano de saúde, Previdencia",Empresa com estrutura familia onde as relações são mais priorizadas.,"5,0",Company with a family structure where relationships are more prioritized.,"Salary, PLR, Health plan, Pension"
290,"- Modelo de trabalho flexível de acordo com as funções (remoto, híbrido ou presencial)
- Autonomia com responsabilidade para executar suas atividade 
- Valorização de ideias e não cargos
- Ambiente empreendedor e de constante crescimento
- Essências são vividas e valorizadas no dia a dia","- Todos estamos aprendendo a trabalhar melhor no assíncrono, então ainda temos uma sobrecarga de agendas síncronas
- Gestão da informação é uma oportunidade, a documentação dos processos não está organizada e de fácil acesso em todas as áreas","5,0","- We are all learning to work better in async, so we still have an overload of synchronous schedules
- Information management is an opportunity, process documentation is not organized and easily accessible in all areas","- Flexible work model according to functions (remote, hybrid or face-to-face)
- Autonomy with responsibility to carry out their activities
- Valuing ideas and not positions
- Entrepreneurial and constantly growing environment
- Essences are experienced and valued on a daily basis"
291,Vida sempre em primeiro lugar,Promoções sem info de quando acontecem,"5,0",Promotions without info on when they happen,Life always first
292,"Mindset de crescimento perene na organização, valores praticados no dia a dia, cultura de respeito, segurança psicológica e maturidade para conversas fáceis e difíceis. 
Conectada ao indivíduo, suas relações e ao sistema que todes estão inseridos para promover ambiente mais fértil e inclusivo.",Algumas (poucas) pessoas ainda não aderentes 100% ao modelo da empresa e seus valores.,"5,0",Some (few) people still do not adhere 100% to the company model and its values.,"Perennial growth mindset in the organization, values ​​practiced on a daily basis, culture of respect, psychological safety and maturity for easy and difficult conversations.
Connected to the individual, their relationships and the system that everyone is part of to promote a more fertile and inclusive environment."
293,"cultura do assincrono, full remote e gestão de pessoas. Empresa com bastante foco em tech e digital.",Número de reuniões um pouco maior do que poderia ser,"5,0",Number of meetings a little higher than it could be,"asynchronous culture, full remote and people management. Company with a strong focus on tech and digital."
294,"- Ambiente de trabalho agradável;
- Benefícios Ótimos;
- Chance de crescimento;
- Ótima metodologia de gerir pessoas.",- Não tenho nada a declarar,"5,0",- I have nothing to declare,"- Pleasant work environment;
- Great Benefits;
- Chance of growth;
- Great methodology for managing people."
295,"Benefícios, Vittude (sessão de terapia Online), Sistema Home Office","Grupo super inovador e com sistemas ágeis, porém ainda precisa estruturar treinamentos para funcionários","5,0","Super innovative group with agile systems, but still needs to structure training for employees","Benefits, Vittude (Online therapy session), Home Office System"
296,"Ambiente de trabalho é muito bom e descontraído. Possui ótimos benefícios, e é uma empresa que realmente reconhece seus funcionários.",Muitas reuniões em horários de almoço e após 18hrs.,"5,0",Many meetings at lunchtimes and after 6pm.,"Working environment is very good and relaxed. It has great benefits, and it's a company that really appreciates its employees."
297,Muito bom trabalhar com o grupo boticario,A comissão poderia ser maior para obrevendedor,"5,0",The commission could be higher for the small seller,Very nice to work with Grupo Boticario
298,"Bom equilibrio de work/life, mas cultura fraca",A liderança ainda é muito conservadora,"2,0",The leadership is still very conservative,Good work/life balance but poor culture
299,"Benefícios e salário muito acima do mercado
Empresa com foco enorme em pessoas
Processos bem definidos
Plano de carreira
Clima amistoso","Empresa muito política/relacional, o que pode atrapalhar o desenvolvimento da carreira de pessoas com um perfil mais técnico e introspectivo","5,0","Very political/relational company, which can hinder the career development of people with a more technical and introspective profile","Benefits and salary far above the market
People-focused company
well-defined processes
Career path
friendly climate"
300,bom apoio nas divulgações e motivações pelas lideranças de outros estados,"funcionários alguns muito tendenciosos, forçam a pessoa pedir demissão","3,0","employees some very biased, force the person to resign",good support in disclosures and motivations by the leaders of other states
301,"Salario, benefícios e ambiente de trabalho","Sem plano de carreira
Horários de atendimento
Sem feedbacks","5,0","No career plan
opening hours
No feedbacks","Salary, benefits and work environment"
302,"Ótimo lugar pra trabalhar, pessoas maravilhosas.",Jovem aprendiz tem poucos benefícios.,"5,0",Young apprentice has few benefits.,"Great place to work, wonderful people."
303,"- Forte preocupação com os funcionários
- Bom ambiente de trabalho
- Emendam todos os feriados :)","- Falta maturidade de produto
- As coisas demoram muito para acontecer, os processos são longos, os comitês demorados.","4,0","- Lack of product maturity
- Things take a long time to happen, the processes are long, the committees take time.","- Strong concern for employees
- Good work environment
- Amend all holidays :)"
304,Muitos benefícios e cuidadosos com o bem estar.,Plano de carreira não desenvolvido.,"5,0",Undeveloped career plan.,Lots of benefits and careful with well being.
305,Empresa está crescendo na área de tecnologia e se preocupa com o bem estar dos funcionários. Atribuições claras e trilha de carreira bem desenhada.,Outras áreas da empresa não seguem o mesmo ritmo e não possuem o mesmo valor gerando ruído na comunicação,"5,0","Other areas of the company do not follow the same pace and do not have the same value, generating noise in communication",Company is growing in the technology area and cares about the well-being of employees. Clear assignments and well-designed career path.
306,Me tomei um profissional capacitado,"Plano de saúde , valor","5,0","health plan, value",I became a trained professional
307,"Os benefícios são ótimos, parceria com psicólogos, possui muitas oportunidades internas. Existe um movimento cultural de diversidade e inclusão muito importante.","A cultura não é das melhores, se você não se relaciona bem, na visão da liderança, as suas entregas não são bem vistas porque ser bem relacionado fica acima de tudo. Não existe organização de processos, as coisas mudam constantemente e a sensação e a que estamos correndo em círculos.","4,0","The culture is not the best, if you don't get along well, in the leadership's view, your deliveries are not well seen because being well connected is above all else. There is no organization of processes, things are constantly changing and the feeling is that we are running in circles.","Benefits are great, partnership with psychologists, has many internal opportunities. There is a very important cultural movement of diversity and inclusion."
308,"Ótima empresa para se construir carreira, pensa muito nos colaboradores.","Por ser uma empresa considerada ""mãe"", acaba pecando na permanência de funcionários de baixo rendimento.","5,0","Because it is considered a ""mother"" company, it ends up sinning on the permanence of low-income employees.","Great company to build a career, thinks a lot about employees."
309,ambiente traquilo pra trabalhar. existe respeito da liderança.,"baixos salarios, falta de oportunidade de cresimento, eles pagam um salario minimo, mas pessam que estão pagando uma furtuna.","4,0","low wages, lack of opportunity for growth, they pay a minimum wage, but they think they are paying a fortune.",peaceful environment to work. there is respect for leadership.
310,"Benefícios, ppr, plano de saúde.","Gestão, desrespeito aos funcionários e escravidão total.","1,0","Management, disrespect for employees and total slavery.","Benefits, ppr, health plan."
311,"Empresa incrível, sempre com ótimos treinamentos para que os consultores possam aprimorar os conhecimentos, ótimas campanhas de incentivo, boa oportunidade de melhorar o currículo e fazer rede de contatos.","Muita cobrança em relação a números e índices (número de itens, ticket médio, etc).","4,0","A lot of demand in relation to numbers and indexes (number of items, average ticket, etc).","Incredible company, always with great training so that consultants can improve their knowledge, great incentive campaigns, good opportunity to improve the curriculum and network."
312,"Se preocupa com o bem estar dos funcionários, Pacote de benefícios",Na planta onde estou alocado pouca mobilidade.,"5,0",In the plant where I am allocated little mobility.,"Cares about the well-being of employees, Benefits package"
313,Cuidado com o funcionário e sua família,Não encontrei ainda q me faça ver algo contra,"5,0",I haven't found yet that makes me see something against,Care for the employee and his family
314,Se preocupam com os funcionários,"Sem contras, tudo muito bem","4,0","No cons, all very well",Care about employees
315,"É uma empresa que oferece treinamentos constantes, inovadora que busca  fidelizar e satisfazer  cada vez mais os clientes com produtos de qualidade e bem aceitos no mercado, facilitando muito para  o trabalho a ser realizado pelos consultores de vendas. Possui alguns benefícios como convênio médico, odontológico, comissão, premiações e dependendo da franquia Vale alimentação.","Na franquia que trabalhei a gestão deixava muito a desejar, péssima!","4,0","In the franchise where I worked, the management left a lot to be desired, terrible!","It is a company that offers constant training, innovative that seeks to increase customer loyalty and satisfaction with quality products that are well accepted in the market, making the work to be carried out by sales consultants much easier. It has some benefits such as medical and dental insurance, commission, awards and, depending on the franchise, food vouchers."
316,"oportunidade de crescimento, opções de aprendizado, salario e benefícios acima do mercado","inconstância de função, mudanças frequentes em salario de atribuições dos cargos, mudanças de postura de trabalho","4,0","inconstancy of function, frequent changes in salary of job assignments, changes in work posture","opportunity for growth, learning options, salary and benefits above market"
317,"benefícios, plano de saude, beneficios por metas",demora a promover os funcionários,"5,0",slow to promote employees,"benefits, health plan, benefits by goals"
318,"Algumas atitudes de gerência , mas com uma boa conversa da para esclarecer as coisas","Benefícios,  e cuidados com o funcionário","5,0",Employee benefits and care,"Some management attitudes, but with a good conversation to clear things up"
319,Um ótimo lugar pra se trabalha um serviço que não e pesado muito bom,Ter que aguentar cliente folgado e levar desaforo mas o cliente sempre está certo,"4,0","Having to put up with a lazy customer and being bullied, but the customer is always right",A great place to work a service that is not heavy very good
320,"Boa empresa, com grandes chances de crescimento, boa comissão.",A carga horária as vezes é o que pesa um pouco,"5,0",The workload is sometimes what weighs a little,"Good company, with great opportunities for growth, good commission."
321,"- Benefícios
- Flexibilidade
- Relação entre gerencia e trabalhador",- Salario menor comparando a outras empresas da mesma cidade,"5,0",- Lower salary compared to other companies in the same city,"- Benefits
- Flexibility
- Relationship between management and worker"
322,"Responsabilidade social e ambiental, Diversidade",Ainda não consigo enxergar defeitos,"5,0",I still can't see any flaws,"Social and environmental responsibility, Diversity"
323,"bom salario, bem estar no ambiente corporativo",nada para acrescentar de negativo,"5,0",nothing to add negative,"good salary, well being in the corporate environment"
324,dinheiro extra e horario flexivel,poucos clientes e pouco dinheiro,"5,0",few customers and little money,extra money and flexible hours
325,"boa remuneração, ambiente descontraído e flexível",não tenho nenhum contra para declarar.,"5,0",I have no cons to declare.,"Good pay, relaxed and flexible environment"
326,"Ótimos benefícios
Boa remuneração
Incentivo a movimentação","Empresa movida ao networking e pouco ao resultado
Dificuldade de digitalização","5,0","Company driven by networking and little to the result
scanning difficulty","great benefits
good remuneration
Incentive to move"
327,"Horário flexível, benefícios e equipe","Hierarquia, processo de ingresso demorado.","4,0","Hierarchy, lengthy admission process.","Flexible hours, benefits and staff"
328,"Apenas pelos descontos, e pagam certo",Pessoal é muito mal educado,"1,0",Staff is very rude,"Just for the discounts, and they pay right"
329,"Flexibilidade, Benefícios, Salario justo, Oportunidade de carreira, Autonomia","Alta demanda, Alta demanda, Alta demanda","5,0","High demand, High demand, High demand","Flexibility, Benefits, Fair salary, Career opportunity, Autonomy"
330,"Grupo incrível, com uma proposta que vai além de somente business, olha muito para como pode impactar a sociedade.

Está em transformação intensa, o que o faz uma boa escola para aprendizado.",Até o momento não tenho nenhum ponto contra,"5,0",So far I don't have any cons.,"Incredible group, with a proposal that goes beyond just business, looks a lot at how it can impact society.

It is undergoing intense transformation, which makes it a good school for learning."
