,pros,contras,rates,contras_en,pros_en
463,Não atrasa salário. Tem vr,É muito longe. Tem que pegar transporte público lotado,"3,0",Is very far. You have to take public transport,Do not delay salary. Has vr
464,A empresa não tem nenhum benefício bom,Tudo e errado na empresa desde os pagamentos a tudo,"1,0",Everything is wrong in the company from payments to everything,The company has no good benefits
465,Lidar com clientes de todos os tipos.,"Funcionário são apenas números, baixa remuneração.","1,0","Employees are just numbers, low pay.",Dealing with customers of all types.
466,"Contribui para crescimento profissional, gera oportunidades","Não tem muitos benefícios
Não tem mais","4,0","It doesn't have many benefits
there is no more","Contributes to professional growth, generates opportunities"
467,"É flexível, pontual com pagamento bom ambiente de convivência","Gestores com tendências individualistas, com cargas altíssima de maferencias, abandonaram a qualidade do serviço com propostas cada vez mais sem valor, porém ainda existe uma pequena minoria que acreditam de maneira acertiva na qualidade.","5,0","Managers with individualistic tendencies, with very high loads of malice, abandoned the quality of service with increasingly worthless proposals, but there is still a small minority who believe in quality in a correct way.","It is flexible, punctual with payment good living environment"
468,"pacote de beneficios, localização, horário parcial",Gestão deficitária e falta de oportunidade de crescimento,"2,0",Poor management and lack of opportunity for growth,"benefits package, location, part-time"
469,É uma empresa que oferece muitos benefícios w flexibilidade,O sistema usado para atendimento achei ruim,"4,0",The system used for attendance I found bad,It is a company that offers many benefits flexibility
470,Pagamento de salário em dia.,Não gostei da experiência. Salário pouco para a quantidade de trabalho e pressão.,"1,0",I didn't like the experience. Little pay for the amount of work and pressure.,Salary payment on time.
471,"Ambiente limpo , boa estrutura","Descontos abusivos, salários atrasados , atrasos na recisão","2,0","Abusive discounts, late salaries, termination delays","Clean environment, good structure"
472,- Liderança desafiadora para propor desafops,- ambiente desrespeitoso para se trabalhar,"2,0",- disrespectful environment to work in,- Challenging leadership to propose challenges
473,"Oportunidade de crescimento, benefícios, Programa de Lucro,","Gestores Inexperientes, Alguns casos de assedio, Não ter qualidade de vida.","4,0","Inexperienced managers, Some cases of harassment, No quality of life.","Opportunity for growth, benefits, Profit Program,"
474,"Organização, trasparente, pontualidade no pagamento",No momento não tenho nada contra,"5,0",At the moment I have nothing against,"Organization, transparency, punctuality in payment"
475,"Ambiente limpo, organizado e com pessoas educadas.","Ambiente barulhento, porém é devido a atividade fim.","4,0","Noisy environment, but it is due to end activity.","Clean, organized environment with polite people."
476,"bom relacionamento 
já conheço os produtos","pagamento errado
não dão suporte ao atendimento aos funcionários","1,0","wrong payment
They don't support employees","good relationship
I already know the products"
477,"Equipe unida, mesmo estando em estados diferentes.","Atraso de salário, benefícios não compatíveis com TI.","4,0","Salary delay, benefits not compatible with IT.","United team, even though we are in different states."
478,"Oportunidade de crescimento, facilidade no network, boa localização.","Atraso salarial de cargos da gestão, atraso de benefícios VR/VT, equipamentos de baixa qualidade ou antigos.","2,0","Wage delay for management positions, delay in VR/VT benefits, low-quality or old equipment.","Opportunity for growth, easy networking, good location."
479,"Salário em dia, ambiente descontraído","Pressão psicológica, remuneração variável baixa, líderes despreparados","4,0","Psychological pressure, low variable compensation, unprepared leaders","Salary on time, relaxed environment"
480,Gestão flexível de fácil negociação,Passando por problema financeiro atrasando FGTS,"4,0",Experiencing financial problem delaying FGTS,Flexible management for easy trading
481,"Oportunidade de crescimento
Bom salário 
Horário flexível com rotina pessoal",Humanização em certos setores da empresa,"4,0",Humanization in certain sectors of the company,"growth opportunity
Good salary
Flexible schedule with personal routine"
482,"Beneficios bons, localização e local de trabalho bons",sem muitas oportunidades de crescimento,"4,0",not many opportunities for growth,"Good benefits, good location and work place"
483,Sempre pagava na data.Beneficios tambem,Nao tinha chance de crescimento,"5,0",Didn't have a chance to grow,Always paid on time. Benefits too
484,"Não tem prós, lá é horrivel","Eles não pagam nada em dia, é uma verdadeira vergonha. Totalmente irresponsável!","1,0","They don't pay anything on time, it's a real shame. Totally irresponsible!","There are no pros, it's horrible there"
485,Amigos e ótimas pessoas que conhecemos,"Atraso de salário, não deposito de FGTS, desvalorização do funcionário","2,0","Late salary, non-deposit of FGTS, employee devaluation",Friends and great people we met
486,Não recomendo a trabalhar nessa empresa,Salário não corresponde com o que é cobrado de um monitor,"1,0",Salary does not correspond to what is charged from a monitor,I do not recommend working for this company
487,"Carga horária.
Localização.
Horário Flexivo
Ambiente de trabalho.
Área de lazer.","Falta de compromisso com os trabalhadores.
Não receber benefícios em dia.
Ferramentas de trabalho que não funcionam.
Abuso de autoridade.
Falta de organização.","1,0","Lack of commitment to workers.
Not receiving benefits on time.
Work tools that don't work.
Abuse of authority.
Lack of organization.","Workload.
Location.
Flexible schedule
Desktop.
Recreation Area."
488,Ótima empresa para se trabalhar.,"Suporte, e alguns atrasos com pagamentos.","4,0","Support, and some payment delays.",Great company to work for.
489,"A empresa LIQ é uma ótima alternativa para os que estão ingressando no mercado de trabalho, oferecendo boas oportunidades de trabalho com horários flexíveis, além de dar aos colaboradores diversas oportunidades de desenvolvimento interno.","A empresa possui alguns problemas administrativos em relação à pagamentos, podendo atrasar o pagamento de salário e benefícios (Vale transporte, comissões de venda, Vale refeição).","4,0","The company has some administrative problems in relation to payments, which may delay the payment of salary and benefits (transport vouchers, sales commissions, meal vouchers).","The LIQ company is a great alternative for those who are entering the job market, offering good job opportunities with flexible hours, in addition to giving employees several opportunities for internal development."
490,"Desenvolvimento na comunicação entre pessoas, evolução como profissional, empatia, saber lidar com as emoções, ser profissional",Trabalhar em uma função que não está alinhada nos meus talentos,"3,0",Working in a role that doesn't align with my talents,"Development in communication between people, evolution as a professional, empathy, knowing how to deal with emotions, being professional"
491,"Perspectiva crescimento
Ótimas instalações 
Liderança positiva","Plano saúde 
Acolhimento prédio alegria","5,0","health plan
Reception building joy","growth perspective
great facilities
positive leadership"
492,"Contrata qualquer um, independente do país, se toma banho ou não, se sabe escrever ou se tem QI acima de 1...","Não paga hora extra e sim banco de horas. 

As vagas do Infojobs estão descritas como receptivo, mas após o treinamento o funcionário é OBRIGADO a vender, se não vender é dispensado pela empresa. 

O Produto Santander faz o possível para mandar por justa causa, paga um salário horrível e os supervisores são patéticos de tão despreparados, sem falar que de tanto mandar funcionários embora por justa causa a empresa Liq pega algum atendente qualquer para servir como ""instrutor"", a prol de executar os treinamento para os novos coitados, mas NUNCA diz que é OBRIGADO e efetuar vendas todos os dias.

A maioria dos produtos não pagam comissão, mas todos lhe obrigam a vender alguma coisa, e os supervisores humilham muito quem não consegue bater meta diariamente.

O Único produto que pagava comissão era o Citibank, mas como saiu do Brasil nada mais resta que se compare a ele. A pessoa ganhava 2% de comissão por realizar empréstimo pessoal, os clientes do Citibank geralmente pediam valores acima de 50 mil, era muito fácil conseguir altas comissões porque os próprios cliente ligavam pedindo o empréstimo, então o atendente não tinha que implorar para isso.","1,0","It does not pay overtime, but overtime.

Infojobs vacancies are described as receptive, but after training the employee is OBLIGATED to sell, if he does not sell he is dismissed by the company.

The Santander Product does its best to send employees out for just cause, pays a horrible salary and the supervisors are pathetic because they are so unprepared, not to mention the fact that, after sending employees away for just cause, Liq hires any attendant to serve as an ""instructor"", for the sake of carrying out the training for the new poor people, but NEVER says that it is THANKFUL and to make sales every day.

Most products don't pay commission, but they all oblige you to sell something, and supervisors humiliate anyone who doesn't manage to hit a daily goal.

The only product that paid commission was Citibank, but since it left Brazil, there is nothing else to compare with it. The person earned a 2% commission for taking out a personal loan, Citibank customers usually asked for amounts above 50 thousand, it was very easy to get high commissions because the customers themselves called asking for the loan, so the attendant did not have to beg for it.","Anyone can be hired, regardless of the country, if they shower or not, if they know how to write or if they have an IQ above 1..."
493,Prós que tem oportunidade de crescer.,Muitas vezes é a gestão.,"4,0",It is often the management.,Pros that have opportunity to grow.
494,Oportunidadede de emprego para quem acabou o ensino médio recentemente,Não respeitam os funcionários e não pagam em dias.,"1,0",They do not respect employees and do not pay in days.,Job opportunities for recent high school graduates
495,"Benefícios, remuneração variável, flexibilidade de horas.","Má gestão, atraso do salário e benefícios.","1,0","Poor management, delay in salary and benefits.","Benefits, variable compensation, flexible hours."
496,Chance para o primeiro emprego.,"Instabilidade financeira da empresa. Atraso no pagamento das férias, passagens e salários.","3,0","Financial instability of the company. Delay in payment of vacations, tickets and wages.",Chance for the first job.
497,"Ajuda a trabalhar em equipe, se comunicar melhor com as pessoas","Pressão psicológica em excesso, não ter horário fixo","3,0","Excessive psychological pressure, not having a fixed schedule","It helps to work in a team, communicate better with people"
498,Oportunidade de aprendizado e crescimento,"Não tem contras, eu gostei muito de trabalhar nessa empresa.","5,0","No cons, I really enjoyed working for this company.",Learning and growth opportunity
499,A empresa atrasa os salários,A empresa sequer tem empatia com os funcionários,"1,0",The company has no empathy for its employees.,The company delays wages
500,"Muito bom ambiente de trabalho, ótimos colegas de equipe",O RH pode demorar para responder pedidos e o ambulatório fecha muito cedo,"4,0",HR can be slow to respond to requests and the outpatient clinic closes very early,"Very good working environment, great teammates"
501,ajuda de custo em dinheiro,atrasa salario e nao deposita o fgts,"1,0",delay salary and do not deposit fgts,cash assistance
502,Não tem nada de bom,Só existe pontos negativos na empresa,"1,0",There are only negative points in the company,there is nothing good
503,Para quem nunca trabalhou e precisa desesperadamente de um emprego é o lugar certo qualquer um entra.,"QUALQUER UM ENTRA.
Ou seja pessoas que normalmente não se comportariam bem em um ambiente de trabalham no local. 
É comum encontrar pessoas que colocam a empresa na justiça e frequentimente você vê algum supervisor tendo que sair durante o expediente para servir de testemunha.","1,0","ANYONE ENTER.
That is, people who would normally not behave well in an on-site work environment.
It is common to find people who take the company to court and you often see a supervisor having to leave during working hours to serve as a witness.","For those who have never worked and desperately need a job, this is the right place for anyone to enter."
504,Boa empresa para começo da carreira,"baixa remuneração
baixo benefícios
plano de carreira","3,0","low pay
low benefits
career path",Good company to start career
505,experiência no mercado é muito boa.,nenhum que venha ser relevante para o funcionário,"5,0",none that may be relevant to the employee,market experience is very good.
506,"Empresa com oportunidade de crescimento profissional.
Carga horária flexível.",Trabalhar fim de semana e feriado dependendo do setor de atuação,"3,0",Work weekends and holidays depending on the industry,"Company with opportunity for professional growth.
Flexible workload."
507,Meu primeiro trabalho. Um empresa boa de se trabalha,Não tem 1hr de janta,"5,0",No 1 hour for dinner,My first job. A good company to work for
508,Boa empresa para primeiro emprego,Não sei dizer os contras,"5,0",I don't know the cons,Good company for first job
509,Nao vi nada de bom,"Atrasos, pressao psicologicas, falta de reconhecimento com o funcionario","1,0","Delays, psychological pressure, lack of recognition with the employee",I didn't see anything good
510,Home office / colegas prontos a ajudar,"Sem perspectiva de crescimento / não pagam o salário em dia, sempre atrasa de 3 até 1 semana já atrasou.
Não pagam direito o VR/VA no primeiro dia útil. 
Se precisa ir até a empresa, não reembolsam.","1,0","No prospect of growth / they don't pay their salary on time, it's always 3 to 1 week late.
VR/VA are not paid on the first working day.
If you need to go to the company, they do not refund.",Home office / colleagues ready to help
511,Folgas e ótima remuneração e só.,Atraso de salários e benefícios.,"4,0",Delay in wages and benefits.,Time off and great pay and that's it.
512,Paga certo horario bons supervisores,Pouca coisa tenho contra a empresa,"5,0",I have little against the company,"Pay a certain time, good supervisors"
513,não tem motivo empresa lixo,É uma empresa com mal gestores,"2,0",It's a company with bad management.,no reason garbage company
514,Ótimo lugar pra primeiro emprego,"Renumeração baixa, alta demanda, muita pressão, cansaço psicológico","2,0","Low pay, high demand, a lot of pressure, psychological fatigue",Great place for first job
515,"pessima, desorganizada, mentirosa,desonesta e calculista","pessima, desorganizada, mentirosa,desonesta e manipuladora","1,0","bad, disorganized, lying, dishonest and manipulative","bad, disorganized, lying, dishonest and calculating"
516,Eh uma empresa boa para trabalhar,Mas teria que reempensa em algumas atitudes mal executadas,"4,0",But I would have to repay some poorly executed attitudes,It's a good company to work for
517,Oportunidade estabilidade transporte localização estrutura clientes,Salário alimentação organização crescimento incentivo atraso liderança RH sistemas assistência ouvidoria benefícios sindicatos uniformes equipamentos,"3,0",Salary food organization growth incentive delay leadership HR systems assistance ombudsman benefits unions uniforms equipment,Opportunity stability transport location structure customers
518,"vários, recomendação, oportunidade de empregos, muitas vagas e para todos.",Não tenho. aposto que é uma ótima empresa l.,"5,0",I don't have. I bet it's a great company l.,"several, recommendation, job opportunity, many vacancies and for everyone."
519,"Não há, só há contras","Atentado aos direitos trabalhistas, colaborador só recebe o dinheiro das férias Quando recebe, tem que passar as férias duro. Passando fome, coordenadores e supervisores que tratam seus funcionários como se fossem madrastas ou padrastos ruins.","1,0","Attack on labor rights, employee only receives vacation money When he receives it, he has to spend his vacation hard. Starving coordinators and supervisors who treat their employees as if they were bad stepmothers or stepfathers.","No, there are only cons"
520,Oportunidade de crescimento e convênios,"Empresa desmerece os funcionários, é uma péssima empresa","1,0","Company despises employees, it's a terrible company",Opportunity for growth and partnerships
521,BOM SALÁRIO E ÓTIMO AMBIENTE,Os beneficios não são atrativos.,"3,0",The benefits are not attractive.,GOOD SALARY AND GREAT ENVIRONMENT
522,"Autonomia de trabalho
Flexibilidade
Multiskills 
Atuação em vários mercados","Crise financeira
Impacto nós benefícios
Impacto de pagamentos","3,0","Financial crisis
impact we benefits
Impact of payments","work autonomy
Flexibility
multiskills
Operation in several markets"
523,Empresa com horário flexível trabalhava das 6 horas às 12:20,Gestão ruim sem suporte RH ruim sem suporte,"1,0",Bad management no support Bad HR no support,Company with flexible hours worked from 6 am to 12:20 pm
524,Não existe nenhum pros para esta empresa,"Péssimo salário, péssimos gestores e não valoriza os","1,0","Bad salary, bad managers and doesn't value the",There are no pros for this company
525,"Dependendo do setor é até bom.
O salário é certinho.","Você entrega sua alma lá, ao ponto de você tentar sair e não conseguir.
Tenha certeza que você vai sair de lá cheio de problemas.","1,0","You give your soul there, to the point where you try to leave and you can't.
I'm sure you'll come out of there full of trouble.","Depending on the sector, it's even good.
The salary is spot on."
526,"Pontualidade, flexibilidade de horário .salario fixo.",Falta com a lei trabalhista,"1,0",Lack of labor law,"Punctuality, schedule flexibility. Fixed salary."
527,"Horário comercial, benefícios e escala de folga.",Zero infra estrutura para trabalho home office.,"3,0",Zero infrastructure for home office work.,"Business hours, benefits and time off schedule."
528,"Não tem nenhum prós, não indico.","Paga pouco, não tem plano de carreira","2,0","Low pay, no career plan","It has no pros, I don't recommend it."
529,"Empresa com profissionais dedicados, bom relacionamento.","Pagamentos e beneficios pagos com atrasos;
Férias e recisões sem previsões de pagamentos.","2,0","Payments and benefits paid with delays;
Vacations and terminations without payment forecasts.","Company with dedicated professionals, good relationship."
530,Não vi nenhum ponto positivo para avaliar.,"A empresa está passando grande dificuldade financeira. Atraso de salarios, não respeita as leis trabalhistas, funcionarios de varias areas que não trabalham somente ficam aguardando receber o que torna o serviço como um todo muito dificil de ser executado, impossível conseguir melhorias.","1,0","The company is experiencing great financial difficulty. Late wages, does not respect labor laws, employees in various areas who do not work are just waiting to receive what makes the service as a whole very difficult to perform, impossible to achieve improvements.",I didn't see any positives to rate.
531,Não consigo pensar em nada bom dessa empresa.,Atrasou a rescisão de boa parte dos trabalhadores.,"1,0",It delayed the termination of most workers.,I can't think of anything good about this company.
532,Uma empresa com bastante diversidades e boas pessoas para trabalhar,o salário é baixo ao nível de trabalho exercido,"3,0",salary is low for the level of work performed,A company with a lot of diversity and good people to work with
533,Péssima empresa não valoriza o funcionário.,Pelo menos paga em dia.,"1,0",At least pay on time.,Horrible company does not value its employees.
534,"Cresci como vendedora,o que sei em termo de atendimento ao cliente,muito eu agradeço a liq também.","Por mais que seja telemarketing,sabemos que também deixa muito a DESEJAR","3,0","As much as telemarketing is, we know that it also leaves a lot to WISH","I grew up as a salesperson, what I know in terms of customer service, I really appreciate liq too."
535,"Muito boa, sempre importando com o colaborador.",Rh muito longe do colaborador.,"4,0",Rh too far from the collaborator.,"Very good, always caring about the collaborator."
536,Gym Pass e a carga horária 6h e 20m por dia,"Atraso de salário, alta cobrança","2,0","Late salary, high charge",Gym Pass and the workload of 6h and 20m per day
537,Pagava sempre na data certa,Pouco tempo de pausa no trabalho.,"2,0",Short break from work.,Always paid on time
538,"Empresa dá oportunidade sem nenhuma forma discriminação.
Um bom ambiente de trabalho.","Não possuo contato direto com funcionários, difícil resolução de problemas junto ao RH.
Empresa com favoritismo.","3,0","I do not have direct contact with employees, difficult to solve problems with HR.
Company with favoritism.","Company gives opportunity without any form of discrimination.
A good working environment."
539,"Pessoas incríveis.
Supervisor maravilhoso e atencioso",Nada a declarar somente a agradecer.,"5,0",Nothing to declare just to say thank you.,"Amazing people.
wonderful and caring supervisor"
540,Não vejo nada de bom na empresa,"Liderança tóxica, muita competitividade, sistemas e fornecedores ruins","1,0","Toxic leadership, too much competition, bad systems and suppliers",I don't see anything good in the company
541,Foi muito boa a empresa,"Pagamento atrasado, mas era ótima empresa","5,0",Late payment but it was great company,The company was very good
542,"Amplo, arejado, climatizado, acolhedor, inovador",Algumas cadeiras e Pa's com defeitos,"4,0",Some faulty chairs and Pa's,"Spacious, airy, air-conditioned, welcoming, innovative"
543,"Pessoas legais, oportunidade de primeiro emprego.","Desorganização, aparelhos todos quebrados e temos que dividir tudo.","2,0","Disorganization, appliances all broken and we have to share everything.","Nice people, first job opportunity."
544,"Pagamento sempre em dia, e diversidade no quadro de colaboradores",Relacionamento complicado com alguns supervisores,"4,0",Complicated relationship with some supervisors,"Payment always on time, and diversity in the staff"
545,"Pagamento em dias,plano de saúde, vale refeição","Cobrança, falta de manutenção dos equipamentos.","3,0","Billing, lack of equipment maintenance.","Payment in days, health plan, meal vouchers"
546,"Empresa grande, plano de carreira.","Benefícios fracos, difícil obter resposta do RH, ruins de pagar o FGTS...","3,0","Weak benefits, difficult to get a response from HR, difficult to pay FGTS...","Big company, career plan."
547,Ninguém enche o saco porém.,"Empresa atrasa pagamento, atrasa condução. Tiramos do bolso e a mesma não reembolsa os valores","1,0","Company delays payment, delays driving. We take it out of pocket and it does not refund the amounts",No one fills the bag though.
548,"pra passar chuva, pagar as contas","muito desorganizada, eles atrasam tudo.","1,0","very disorganized, they delay everything.","to pass the rain, pay the bills"
549,"Pagamento em dia, cumpri com o combinado","nada a declarar, dentro do esperado","5,0","nothing to declare, as expected","Payment on time, comply with the agreement"
550,Boa demais para os funcionários,Aperto de mente é demais,"3,0",mind tightening is too much,too good for employees
551,"Respeitam os horários , flexibilidade para quem quer estudar.",Alguns problemas com atraso de passagem,"4,0",Some problems with passing delay,"They respect the schedules, flexibility for those who want to study."
552,"paga no dia certo, tem beneficios","salario abaixo do mercado e convenio desconta mês a mês ate quitar a divida. n tem convenio, tem parceria.","3,0","salary below the market and the agreement discounts month after month until the debt is paid off. There is no agreement, there is a partnership.","pays on the right day, has benefits"
553,Bastante Oportunidade de crescimento constante,Dor de cabeça do processo de desligamento e rescisão,"5,0",Headache of Shutdown and Termination Process,Plenty of Opportunity for constant growth
554,"Plano de saúde incluso, ticket, possibilidade de ganho com comissão","Transporte fracionado semanalmente, plano de saúde é cobrado, empresa em crise materiais para trabalhar precário. Salario defasado para supervisão.","2,0","Transportation divided weekly, health plan is charged, company in crisis materials to work precarious. Salary lagged for supervision.","Health plan included, ticket, possibility of earning with commission"
555,"Supervisão excelente, colegas maravilhosos e boa empresa","Poucos os benefícios e salários,","3,0","Few benefits and salaries,","Excellent supervision, wonderful colleagues and good company"
556,"O loval de tranbalho é bom e o salário e horatio tambem,","Não ha contras,so sai pq tive meu filho.","5,0","There are no cons, I only leave because I had my son.","The work place is good and the salary and hours too,"
557,Apenas o horário para quem trabalha no turno da manhã,"Desconforto no ambiente de trabalho, metas surreais, falta de trato com funcionários, transporte depositado aos poucos e com atraso, produto ruim.","3,0","Discomfort in the work environment, unrealistic goals, lack of contact with employees, transport deposited slowly and late, bad product.",Only the schedule for those who work the morning shift
558,Empresa com bastante tempo no mercado.,"Muitas fusões, acabou se perdendo. Está há mais de uma ano atrasando o pagamento de salário.","2,0",Many mergers ended up getting lost. He's been late paying his salary for over a year.,Company with a long time in the market.
559,Empresa boa para aprender e ingressar,salário bom em alguns setores,"4,0",good salary in some sectors,Good company to learn and join
560,"Bom ambiente de trabalho, foco em resultados, salário na data certa.",Sempre tem cortes no quadro de funcionários.,"5,0",There are always cuts in the staff.,"Good work environment, focus on results, salary on time."
561,"Flexibilidade, horários, gestão, diferencial, diversidade.","Distancia, gestão, saúde mental e física ,","4,0","Distance, management, mental and physical health,","Flexibility, schedules, management, differential, diversity."
562,"Empresa boa, dinâmica, flexível, super Lgbtqia+","Metas difíceis, muitas cobranças, pessoas se vestem mal,","5,0","Difficult goals, many pressures, people dress badly,","Good company, dynamic, flexible, super Lgbtqia+"
563,Estimula a ser um bom funcionário,"Na liq não somos profissionais valorizados,","3,0","At liq we are not valued professionals,",Stimulates to be a good employee
564,Boa experiência para quem busca o primeiro emprego. Horário reduzido de 6h20.  Ambiente bom para trabalhar.,Escala final de semana. Tempo de lanche é curto (20 minutos). Muitas sinalizações fúteis em relação ao atendimento. V.R é um lanche na empresa e V.A é uma cesta básica. Passagens caem fracionadas durante o mês.,"4,0",Weekend scale. Snack time is short (20 minutes). Lots of futile signs regarding service. V.R is a company snack and V.A is a basic basket. Tickets drop fractionally during the month.,Good experience for those looking for their first job. Reduced hours from 6:20 am. Good environment to work.
565,"Oportunidade de crescimento ótima, dinamismo excelente","Nada,
Ótima empresa para trabalha. Crescimento ok","5,0","Anything,
Great company to work for. ok growth","Great growth opportunity, excellent dynamism"
566,Muito boa adorei ótima empresa,Não há contras muito bom,"5,0",no cons very good,Very good I loved it great company
567,"Horário flexivel, e bons colegas de trabalho","Pagamento e benefícios, e metas mirabolantes","2,0","Pay and benefits, and lofty goals",Flexible hours and good co-workers
568,"Paga bem, paga no dia.
Horário reduzido.
Localização central.
VT e VR",Não ter tanta rotatividade de pessoas.,"5,0",Not having so much turnover of people.,"Pays well, pays on the day.
Reduced hours.
Central location.
VT and VR"
569,Bom para um primeiro emprego,"clientes, colegas, horas, local, mesa","3,0","customers, colleagues, hours, location, table",Good for a first job
570,A aprendizagem que é adquirida nas rotinas pertinentes ao cargo.,"No trade, a empresa representa a Tim. Todos os colaboradores desde os assistentes aos coordenadores não possuem autonomia alguma. Quem manda no negócio é o parceiro (Tim). Pacote de benefícios péssimos, além de atrasos nos depósitos de obrigações simples, como FGTS.","1,0","In the trade, the company represents Tim. All employees, from assistants to coordinators, do not have any autonomy. The partner (Tim) is in charge of the business. Terrible benefit package, in addition to delays in depositing simple obligations, such as FGTS.",The learning that is acquired in the routines relevant to the position.
571,Apesar dos contras é uma empresa que oferece oportunidade de primeiro emprego.,"A remuneração não chegava a ser 1 salário mínimo. Além disso, a empresa no site que trabalhei (João Pessoa), é totalmente desorganizada e no quesito informação é zero para os seus colaboradores, pois tudo acontece e você só sabe quando já passou. Também não posso deixar de mencionar que o ambiente de telemarketing é desgastante, uma vez que você lida com todos os tipos de pessoas por atendimento via voz, chat e e-mail. Pois bem, a sanidade mental não existe e ainda assim a empresa exige, por meio de assinatura, que você trabalhe até em feriados e não te paga a mais por isso, salvo uns escolhidos sem nem um critério para tal. Ademais, nem tão pouco paga as horas acumuladas do seu banco de dados, nem rv, ou seja, resumindo, é um trabalho escravo. Por fim, preciso enfatizar que neste site específico, uma vez fora da empresa, nem conte com a rescisão, pois eles não te pagam.","1,0","The salary was less than 1 minimum wage. In addition, the company on the site I worked for (João Pessoa) is completely disorganized and in terms of information, it is zero for its employees, because everything happens and you only know when it has passed. I also cannot fail to mention that the telemarketing environment is exhausting, as you deal with all types of people via voice, chat and email. Well, sanity doesn't exist and yet the company requires, through a subscription, that you work even on holidays and doesn't pay you extra for it, except for a few chosen ones without even a criterion for doing so. Furthermore, neither does it pay for the accumulated hours of its database, nor rv, that is, in short, it is slave labor. Finally, I need to emphasize that on this particular site, once you leave the company, don't even count on termination, as they don't pay you.","Despite the cons, it is a company that offers a first job opportunity."
572,"flexível
depende do produto que você ficar","paga mal, as vezes atrasa pagamento.","3,0","pays poorly, sometimes late payment.","flexible
depends on the product you get"
573,Paga salário e benefícios em dia.,Não paga auxílio creche para mães.,"4,0",It does not pay daycare assistance for mothers.,Pay salary and benefits on time.
574,"Empresa de oportunidades, flexivel, comprometimento com os colaboradores",Nao tem nao tem nao tem bao trm nao tem,"5,0",Doesn't have doesn't have doesn't have bao trm doesn't have,"Company of opportunities, flexible, commitment to employees"
575,nao tinha nenhum pro na empresa,"falta de organização, ma gestão","1,0","lack of organization, poor management",there were no pros in the company
576,"Ambiente, desafios, pessoas, local de trabalho,","Atraso de salário, diretoria, ideias arcaicas, sem espaço para inovação","3,0","Late salary, management, archaic ideas, no room for innovation","Environment, challenges, people, workplace,"
577,Plano de Carreira; Flexibilidade; Ótima Gestão.,Trabalhar em Call-center pode ser um pouco desgastante.,"5,0",Working in a call center can be a bit exhausting.,Career path; Flexibility; Great Management.
578,"O salario nao atrasa, sempre cai dia primeiro","Condições de trabalho ruins, equipamentos ruins e poucas cha ces de crescimento","2,0","Bad working conditions, bad equipment and little chance for growth","The salary is not late, it always falls on the first day"
579,"Horario é flex, da pra estudar","Altamente estressante, ruim a longo prazo","4,0","Highly stressful, bad in the long run","Schedule is flexible, you can study"
580,"O trabalho é bem leve, ambiente tranquilo","Empresa atrapalhad, não paga os direitos de maneira correta","3,0","Messy company, does not pay the rights correctly","The work is very light, peaceful environment"
581,"Benefícios com plano de saúde ,auxílio creche , e comissões","Supervisores não tem empatia com operadoer , e tudo e justa causa","5,0","Supervisors have no empathy with the operator, and everything is just cause","Benefits with health plan, day care assistance, and commissions"
582,"Comprometimento, profissionalismo, atenção, qualificação, experiência","Falta de alinhamento, falta de habilidade de comunicação do líder imediato","5,0","Lack of alignment, lack of communication skills of the immediate leader","Commitment, professionalism, attention, qualification, experience"
583,Bom ambiente de trabalho e possibilidade de crescimento.,Vale alimentação baixo e processos internos muito exigentes.,"4,0",Low food costs and very demanding internal processes.,Good working environment and opportunity for growth.
584,nenhum pró em relação pois a empresa é totalmente escarça,empresa não se preocupa com os funcionários,"1,0",company does not care about employees,no pro in relation as the company is totally scarce
585,"Uma empresa dinâmica, com gincanas em datas comemorativas e especiais em meio corporativo. Acolhedora e multi cultural","Trabalha em cima de metas e resultados agressivos, com pressão.","5,0","Works on top of aggressive goals and results, with pressure.","A dynamic company, with competitions on commemorative and special dates in the corporate environment. Welcoming and multicultural"
586,Proporciona experiência a jovens de primeiro emprego e ascensão de cargos.,Cargos de gestão com carga horária excessiva,"4,0",Management positions with excessive workload,Provides experience to young people looking for their first jobs and rising to higher positions.
587,As vezes ela paga adiantado e paga o vr para o mes inteiro,"As vezes atrasam o salário, sem muita oportunidade para subir de cargo, desrespeito com o funcionário, falta de comprometimento, segurança falha entre outros.","3,0","Sometimes they delay the salary, without much opportunity to move up in position, disrespect for the employee, lack of commitment, poor security, among others.",Sometimes she pays in advance and pays the vr for the whole month
588,Equipe bem unida e preparada,"Atraso de salário.
Gestão.
Falta de posicionamento com os colaboradores","1,0","Salary delay.
Management.
Lack of positioning with employees",Well-knit and well-prepared team
589,Lugar grande e cheio de diversidade,Atraso no pagamento de vários funcionários,"3,0",Late payment of several employees,Big and diverse place
590,"Oportunidade para primeiro emprego, para pessoas querendo se reinserir no mercado, sem discriminação em qualquer quesito. Restaurante na empresa com almoço no valor do ticket diário. Benefício para academias com desconto.","Tíquete com valor baixo, de R$6,20 Por dia para 5:50h diárias de jornada.
Não oferece mais plano de saúde.
Sem plano de carreira. Remuneração de 1.008,33 Reais para jornada de 165h","3,0","Ticket with low value, R$6.20 per day for 5:50 hours a day.
No longer offers health insurance.
No career plan. Remuneration of 1,008.33 Reais for a 165-hour journey","Opportunity for first job, for people wanting to reenter the market, without discrimination in any aspect. Restaurant at the company with lunch in the amount of the daily ticket. Benefit for discount gyms."
